Nummer,Jahr,Technik,Technik I,Technik II,Technik III,Technik IV,Format,Grösse,Ausrichtung,Darstellungsform,Darstellungsform I,Gegenständlich/Ungegenständlich,Motiv I,Motiv II,Motiv III,Motiv IV,Serie,Helligkeit,Farbigkeit,Paraphrasen,Bildsprache,Titel,Standort,Status,Zus'arbeit,Bildqualität,Bemerkungen,Komposition,Nummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2118,a2001,Fs,,,,,9x11,klein,breit,,,Gs,AP,Tie,Lao,,,H3,b,Par2,,Laokoon,iBdK,,,,,,2118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2119,a2001,zT,Dd,B,,,9x11,klein,breit,,,Gs,AP,BiB,Sch,,,H2,gr,Par2,,Torso (Janus tanzt),iBdK,,,,,,2119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2120,a2013,Mt,Fa,Ks,T,,11x13,klein,breit,,,Gs,F,mF,,,,H3,v,Par2,,Dionisio,iBdK,,,,,,2120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2121,a2002,Mt,Dd,Fa,T,,11x15,klein,breit,Lwi,,UnG,BiB,AP,,,,H2,cf,Par2,was,Dionysos en miniature,iBdK,,,,,,2121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2122,a2007,zT,Dd,T,,,12x17,klein,breit,,,UnG,AP,,,,,H3,gr,Par2,,träumender Faun,iBdK,,,,,,2122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2123,a2001,B,,,,,9x11,klein,breit,,,UnG,AP,,,,,H2,gr,Par2,,barberinischer Faun,iBdK,,,,,,2123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2124,a2001,Mt,Dd,B,Opl,,11x15,klein,breit,,,UnG,AP,,,,,H3,gr,Par2,,Faun,iBdK,,,,,Drk,2124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2125,a2001,zT,Dd,B,,,15x21,klein,breit,,,Gs,AP,Sch,,,,H2,b,Par2,,so long,iBdK,,,,,,2125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2126,a2002,zT,Dd,T,,,15x21,klein,breit,,,Gs,AP,,,,,H3,gr,Par2,,Faun,iBdK,,,,,dK,2126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2127,a2001,Mt,Dd,B,Fa,T,15x21,klein,breit,,,UnG,AP,Sch,,,,H3,cf,Par2,sko,Faun,iBdK,,,,,,2127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2128,a2017,Mt,Dd,Ks,B,,21x30,klein,breit,,,Gs,O,Ma,,,,H1,gr,Par2,waa,Spolien,iBdK,,,,,,2128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2129,a2023,zT,G,Kl,,,30x21,klein,hoch,Lwi,,U,,,,,,H4,cf,Kr9,,Uranus verheddert,iBdK,,,,,,2129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2130,a2016,zT,Fs,T,,,21x30,klein,breit,Lst,,UnG,AP,,,,,H3,gr,Par2,,Jüngling von Magdalenenberg,iBdK,,,,,Zk,2130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2131,a2001,Mt,Dd,B,Fa,,21x30,klein,breit,,,UnG,AP,Ri,O,,,H2,cf,Par2,waa,Sarkophag,iBdK,,,,,,2131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2132,a2001,zT,Dd,T,,,16x30,klein,breit,,,Gs,O,Sch,,,,H2,gr,Par2,,"Sarkophag, Schrift",iBdK,,,,,,2132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2133,a2001,zT,Dd,T,,,17x21,klein,breit,,,Gs,O,,,,,H3,gr,Par2,,Sarkophag,iBdK,,,,,,2133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2134,a2007,zT,B,G,,,21x30,klein,breit,,,Gs,FigG,AP,Ken,Mw,,H2,gr,Par2,,scene dionisiache,iBdK,,,,,,2134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2135,a2006,zT,Fa,Fs,,,11x15,klein,breit,,,Gs,P,Sch,Mw,,,H5,gr,Par2,,kleines Capriccio,iBdK,,,,,,2135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2136,a2002,Mt,Dd,Fa,T ,,15x21,klein,breit,,,Gs,AP,P,,,,H3,cf,Par2,sch,Hermes doziert,iBdK,,,,,Rok,2136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2137,a2022,zT,Od,C,,,31x44,mittel,breit,,,UnG,FigG,O,BiB,,,H3,c,,was,Tauchgang,iBdK,,,,,,2137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2138,a2001,zT,Dd,Fa,,,9x11,klein,breit,,,Gs,AP,P,,,,H3,v,Par2,,Hermes und der kleine Dionysos,iBdK,,,,,,2138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2139,a2012,zT,B,Fa,,,15x21,klein,breit,,,Gs,AP,F,,,,H2,cf,Par2,,Torso maschile,iBdK,,,,,,2139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2140,a2023,Mt,B,T,C,,21x28,klein,breit,Gi,sCo,U,Sch,,,,,H3,gr,Kr10a,,bauen und umbauen,iBdK,,,,,,2140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2141,a2016,zT,B,T,,,17x24,klein,breit,,,Gs,AP,,,,,H2,gr,Par2,,Satyre,iBdK,,,,,,2141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2142,a2012,zT,B,T,,,15x21,klein,breit,,,Gs,AP,,,,,H2,b ,Par2,,Auftritt,iBdK,,,,,vK,2142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2143,a2014,Mt,B,Fa,Dd,T,19x23,klein,breit,,,Gs,AP,,,,,H4,gr,Par2,,Dwarf entertainer dancing and playing castanets,iBdK,,,,Fs,,2143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2144,a2017,zT,B,T,,,11x15,klein,breit,,,Gs,P,,,,,H3,gr,Par2,,Bacchanalian figures,iBdK,,,,,,2144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2145,a2017,zT,B,T,,,11x15,klein,breit,Lst,,Gs,P,,,,,H2,gr,Par2,,Paar,iBdK,,,,,,2145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2146,a2016,B,,,,,11x15,klein,breit,,,Gs,mF,Sch,,,,H2,gr,Par2,,Tanagra,iBdK,,,,,,2146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2147,a2002,zT,Dd,T,,,11x15,klein,breit,,,UnG,Ar,,,,,H4,gr,Par2,,Lo spirito di Nerone,iBdK,,,,,,2147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2148,a2002,zT,Dd,B,,,11x15,klein,breit,,,UnG,Ar,,,,,H2,bw,Par2,,Götterstreit,iBdK,,,,,,2148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2149,a2010,zT,B,T,,,21x30,klein,breit,Lst,,Gs,Ken,,,,,H3,bw,Par2,,Centaurus and Lapiths,iBdK,,,,,,2149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2150,a2002,Mt,B,K ,T ,,21x30,klein,breit,,,Gs,Ken,,,,,H3,bw,Par2,,Kentaur,iBdK,,,,,,2150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2151,a2004,Mt,B,T,Fs,,14x21,klein,breit,,,Gs,Ken,,,,,H4,bw,Par2,,Kentaur,iBdK,,,,,,2151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2152,a2001,zT,B,T,,,14x21,klein,breit,,,Gs,P,Ken,,,,H3,gr,Par2,,Kampf mit dem Kentauren,iBdK,,,,,,2152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2153,a2002,zT,Dd,T,,,9x11,klein,breit,,,Gs,Sch,BiB,Ken,,,H3,gr,Par2,,Kentaur,iBdK,,,,,DrK,2153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2154,a2001,B,,,,,11x15,klein,breit,,,Gs,P,Ken,,,,H2,gr,Par2,,Kentaur,iBdK,,,,,,2154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2155,a2023,B,,,,,21x30,klein,breit,krS,,UnG,Sch,bb,,,,H2,gr,Kr11,,reichlich Ungereimtes,iBdK,,,,,,2155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2156,a2001,B,,,,,11x15,klein,breit,,,Gs,P,Ken,,,,H2,gr,Par2,,siegreicher Kentaur,iBdK,,,,,,2156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2157,a2001,zT,B,T,,,17x21,klein,breit,,,Gs,P,Ken,,,,H3,gr,Par2,,den Kentauren besiegen,iBdK,,,,,,2157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2158,a2001,zT,B,G,,,14x21,klein,breit,,,Gs,P,Ken,,,,H3,gr,Par2,,Kentaur,iBdK,,,,,,2158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2159,a2001,zT,B,Fa,,,17x21,klein,breit,,,Gs,mF,Tie,,,,H3,cf,Par2,sko,Stiertöterin,iBdK,,,,,,2159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2160,a2001,Mt,B,B,Fa,,15x21,klein,breit,,,Gs,O,P,Ken,,,H2,cf,Par2,,Kentaur,iBdK,,,,,,2160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2161,a2001,zT,Dd,B,,,21x30,klein,breit,,,Gs,FigG,O,Ken,,,H2,gr,Par2,,eine alte Geschichte,iBdK,,,,,,2161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2162,a2011,B,,,,,21x30,klein,breit,,,Gs,Kt,,,,,H1,bw,Par3a,jun,aus der pintura de Sant Joan de Boí,iBdK,,,,,,2162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2163,a2011,zT,B,T,,,11x15,klein,breit,,,Gs,Kt,,,,,H2,gr,Par3a,,nach einem Motiv aus einer romanischen Wandmalerei,iBdK,,,,,,2163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2164,a2010,zT,B,Fs,,,11x23,klein,breit,,,U,,,,,,H3,gr,Par3a,,after Master Bertrams' Triptych with Scenes from the Apocalypse,iBdK,,,,,,2164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2165,a2011,zT,B,T,,,17x21,klein,breit,,,UnG,Kt,,,,,H2,bw,Par3a,,Dreiklang,iBdK,,,,,Drk,2165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2166,a2012,zT,B,T,,,11x15,klein,breit,,,U ,Sch,,,,,H2,gr,Par3a,zwi,frei nach der Taula de sant Domènec de Guzmàn,iBdK,,,,,,2166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2167,a2011,zT,B,T,,,9x15,klein,breit,,,UnG,Pf,,,,,H1,bw,"Par3a, Kr2a",,Baum (nach einer Wandmalerei aus dem Kloster San Pedro de Arlanza),iBdK,,,,,,2167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2168,a2017,zT,B,T,,,21x29,klein,breit,,,UnG,Ri,,,,,H2,gr,Par3b,,kleines Capriccio (nach Franz Xaver Messerschmidt),iBdK,,,,,hK,2168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2169,a2010,zT,B,T,,,17x14,klein,hoch,,,Gs,P,AP,Sch,,,H3,gr,Par3b,,Samson and the Pihilistines (after Vincenzo Foggini),iBdK,,,,,vK,2169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2170,a2015,zT,B,T,,,19x17,klein,hoch,,,Gs,P,AP,Mw,,,H4,gr,Par3b,,Theseus und der Minotaurus,iBdK,,,,,,2170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2171,a2014,zT,B,Fa,,,20x28,klein,breit,,,UnG,AP,,,,,H2,bw,Par3b,waa,Diana,iBdK,,,,,,2171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2172,a2016,zT,B,Dd,,,30x21,klein,breit,Mo,Lwi,UnG,AP,P,,,,H2,gr,Par3b,,Merkur und Psyche,iBdK,,,,,,2172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2173,a2016,zT,B,Dd,,,30x21,klein,breit,Mo,Lwi,UnG,AP,P,,,,H2,gr,Par3b,zwi,enviol (Merkur und Psyche),iBdK,,,,,,2173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2174,a2023,zT,B,Fa,,,13x18,klein,breit,,,U,Sch,,,,,H2,gr,Kr12b,,lockeres Zehnersystem,iBdK,,,,,Zk,2174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2175,a2017,zT,B,Fa,,,21x21,klein,quadratisch,,,UnG,FigG,St,StoFG,,,H2,gr,Par3b,sch,barock,iBdK,,,,,,2175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2176,a2017,zT,B,,,,24x18,klein,hoch,,,Gs,P,AP,,,,H3,gr,Par3b,,Raub der Sabinerin (nach Giambologna),iBdK,,,,,,2176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2177,a2009,Mt,B,Fs,K ,,16x30,klein,breit,,,Gs,AP,Mw,,,,H2,gr,Par3b,,Herkules und der Kentaur,iBdK,,,,,,2177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2178,a2023,Mt,B,Fa,T ,Opl,20x23,klein,breit,Gi,,U,,,,,,H2,cf,Kr12b,,Teilchenentschleuniger,iBdK,,,,C,Zk,2178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2179,a2009,B,,,,,21x18,klein,hoch,,,UoG,mF,Tie,,,,H2,bw,Par3b,,Drache im Kampf mit dem Heiligen Georg,iBdK,,,,,,2179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2180,a2005,B,,,,,17x30,klein,breit,,,Gs,P,AP,,,,H1,gr,Par3b,,PIETÀ,iBdK,,,,,,2180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2181,a2010,Mt,B,T,G,,17x21,klein,breit,,,Gs,AP,F,,,,H2,gr,Par3b,,Glockenapfel,iBdK,,,,,,2181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2182,a2008,B,,,,,21x30,klein,breit,,,Gs,AP,Sch,,,,H1,gr,Par3b,zwi,Piazza della Signoria,iBdK,,,,,,2182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2183,a2009,zT,Dd,G,,,21x27,klein,breit,,,UnG,Ri,,,,,H2,gr,Par3b,,opera,iBdK,,,,,Rk,2183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2184,a2017,G,,,,,25x34,mittel,breit,Ul,Lst,UnG,lL,At,BiB,,,H4,cf,,,Atelier,iBdK,,,,,,2184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2185,a2009,B,,,,,30x14,klein,hoch,,,Gs,AP,,,,,H1,gr,Par3b,,nach einem Kruzifixus-Fragment von Giovanni Pisano,iBdK,,,,,vK,2185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2186,a2010,B,,,,,9x17,klein,breit,,,UnG,AP,,,,,H2,gr,Par3b,,Cristo,iBdK,,,,,,2186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2187,a2007,zT,B,Dd,,,13x16,klein,breit,,,UnG,mF,,,,,H2,gr,Par3b,,Christus (12 Linien),iBdK,,,,,,2187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2188,a2015,B,,,,,28x20,klein,hoch,,,Gs,mF,,,,,H1,bw,Par3b,,The crucified Christ,iBdK,,,,,vK,2188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2189,a2008,Mt,B,Dd,Fal,,21x30,klein,breit,Lst,,UnG,Kt,BiB,,,,H2,gr,Par3b,,Kreuzigung,iBdK,,,,,Zk,2189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2190,a2023,zT,G,B,,,26x31,mittel,breit,Schla,Lst,UnG,O,,,,,H3,cf,Kr12c,,way out,iBdK,,,,,,2190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2191,a2005,zT,B,T,,,18x23,klein,breit,,,Gs,Kt,,,,,H3,gr,Par3b,sko,Cristo crocifisso,iBdK,,,,,,2191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2192,a2012,B,,,,,11x17,klein,breit,,,Gs,Kt,,,,,H2,gr,Par3b,,Crist crucificat,iBdK,,,,,dK,2192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
