Nummer,Jahr,Technik,Technik I,Technik II,Technik III,Technik IV,Format,Grösse,Ausrichtung,Darstellungsform,Darstellungsform I,Gegenständlich/Ungegenständlich,Motiv I,Motiv II,Motiv III,Motiv IV,Serie,Helligkeit,Farbigkeit,Paraphrasen,Bildsprache,Titel,Standort,Status,Zus'arbeit,Bildqualität,Bemerkungen,Komposition,Nummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0016,a2011,zT,Dd,B,,,21x30,klein,breit,,,U,Sch,,,,Fst,H1,gr,ParPC,,Früchtestillleben (frei nach Paul Cézanne),iBdK,,,,,,0016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0017,a2012,Mt,Dd,B,Fs,,21x30,klein,breit,sM,,UnG,O,,,,Fst,H3,bw,ParPC,was,Früchtestillleben (frei nach Paul Cézanne),iBdK,,,,,,0017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0018,a2011,zT,Dd,B,,,21x30,klein,breit,Ul,,Gs,F,St,Sch,StmFG,Fst,H1,y,ParPC,was,Früchtestillleben (frei nach Paul Cézanne),iBdK,,,,,,0018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0019,a2011,Mt,Dd,B,T,Kh,21x30,klein,breit,"Lwi,krS",Ul,U,,,,,Fst,H2,gr,ParPC,was,Früchtestillleben (frei nach Paul Cézanne),iBdK,,,,,,0019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0020,a2011,zT,Dd,T,,,21x30,klein,breit,Lst,Ul,U,Sch,,,,Fst,H1,gr,ParPC,was,Früchtestillleben (frei nach Paul Cézanne),iBdK,,,,,ROk,0020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0021,a2011,G,,,,,21x30,klein,breit,,,U,,,,,Fst,H1,b,ParPC,fis,Früchtestillleben (frei nach Paul Cézanne),iBdK,,,,,,0021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0022,a2021,zT,,B,T,,19x30,klein,breit,,,Gs,O,,,,,H3,gr,Kr1,,Schiffsverkehr,iBdK,,,,,,0022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0023,a2011,zT,G,Fs,,,21x30,klein,breit,,,UoG,O,BiB,,,,H3,cf,Kr6,,4 Bilder,iBdK,,,,,,0023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0024,a2021,zT,,B,T,,15x24,klein,breit,,,Gs,O,,,,,H3,gr,Kr6,,Boot ,iBdK,,,,,,0024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0025,a2011,B,,,,,21x30,klein,breit,,,U,,,,,Fst,H1,bw,ParPC,,Früchtestillleben (frei nach Paul Cézanne),iBdK,,,,,,0025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0026,a2021,Fa,,,,,15x11,klein,hoch,,,U,,,,,,H1,cf,Kr7,,über den Punkt gebracht,iBdK,,,,,,0026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0027,a2012,B,,,,,21x30,klein,breit,sM,Lwi,UoG,,,,,Fst,H3,gr,ParPC,,Früchtestillleben (frei nach Paul Cézanne),iBdK,,,,,,0027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0028,a2016,G,,,,,21x30,klein,breit,krS,,U,,,,,Fst,H2,v,ParPC,,Früchtestillleben (frei nach Paul Cézanne),iBdK,,,,,,0028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0029,a2021,B,,,,,9x18,klein,breit,,,Gs,Ri,,,,,H1,Y,Kr9,,La Belle et la Bête,iBdK,,,,,Rk,0029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0030,a2012,Mt,Dd,B,G,Fs,21x30,klein,breit,,,U,,,,,Fst,H3,gr,ParPC,,Früchtestillleben (frei nach Paul Cézanne),iBdK,,,,,,0030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0031,a2011,B,B,G,,,21x30,klein,breit,Lwi,,U,,,,,Fst,H1,cf,ParPC,,Früchtestillleben (frei nach Paul Cézanne),iBdK,,,,,,0031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
