Nummer,Jahr,Technik,Technik I,Technik II,Technik III,Technik IV,Format,Grösse,Ausrichtung,Darstellungsform,Darstellungsform I,Gegenständlich/Ungegenständlich,Motiv I,Motiv II,Motiv III,Motiv IV,Serie,Helligkeit,Farbigkeit,Paraphrasen,Bildsprache,Titel,Standort,Status,Zus'arbeit,Bildqualität,Bemerkungen,Komposition,Nummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,path,thumb,TitelEinfach,Techniken,Motiven,Darstellungsformen
1421,1976,zT,T,G,,,24x44,mittel,breit,,,UoG,Tie,Lao,,,Ca,H3,v,,,Sankt Georg im Drachen,iBdK,,,,,,1421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/WV_ab 1405/1421.jpg,images/WV_ab 1405/thumb/1421.jpg,sankt georg im drachen,zT T G  ,Tie Lao  , 
1422,1976,Mt,G,Opl,T,,23x46,mittel,breit,,,UoG,Tie,Lao,,,Ca,H3,cf,,,Laokoon,iBdK,,,,,,1422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/WV_ab 1405/1422.jpg,images/WV_ab 1405/thumb/1422.jpg,laokoon,Mt G Opl T ,Tie Lao  , 
1423,1976,OPa,,,,,47x61,mittel,breit,,,UoG,Tie,Lao,,,Ca,H4,gr,,,Laokoon,iBdK,,,,,,1423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/WV_ab 1405/1423.jpg,images/WV_ab 1405/thumb/1423.jpg,laokoon,OPa    ,Tie Lao  , 
1424,1977,OPa,,,,,47x65,mittel,breit,,,UoG,Tie,Lao,,,Ca,H3,b,,sti,Laokoon,iBdK,,,,,,1424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/WV_ab 1405/1424.jpg,images/WV_ab 1405/thumb/1424.jpg,laokoon,OPa    ,Tie Lao  , 
1425,1977,Mt,OPa,G,B,,28x46,mittel,breit,,,UoG,Tie,Lao,,,Ca,H4,v,,,,iBdK,,,,,,1425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/WV_ab 1405/1425.jpg,images/WV_ab 1405/thumb/1425.jpg,,Mt OPa G B ,Tie Lao  , 
1426,2005,zT,B,T,,,30x42,mittel,breit,,,Gs,A,ZM,,,,H2,gr,,waa,,iBdK,,,,,,1426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/WV_ab 1405/1426.jpg,images/WV_ab 1405/thumb/1426.jpg,,zT B T  ,A ZM  , 
1427,2012,zT,B,T,,,40x24,mittel,hoch,,,Gs,A,,,,,H2,b,,,,iBdK,,,,,,1427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/WV_ab 1405/1427.jpg,images/WV_ab 1405/thumb/1427.jpg,,zT B T  ,A   , 
1428,2017,zT,B,T,,,30x42,mittel,breit,,,Gs,A,,,,,H2,gr,,,,iBdK,,,,,,1428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/WV_ab 1405/1428.jpg,images/WV_ab 1405/thumb/1428.jpg,,zT B T  ,A   , 
1429,2015,B,,,,,30x42,mittel,breit,,,Gs,A,P,,,,H1,gr,,,,iBdK,,,,,,1429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/WV_ab 1405/1429.jpg,images/WV_ab 1405/thumb/1429.jpg,,B    ,A P  , 
1430,2012,zT,B,T,,,29x42,mittel,breit,,,Gs,A,Sch,,,,H2,gr,,,drawing,iBdK,,,,,,1430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/WV_ab 1405/1430.jpg,images/WV_ab 1405/thumb/1430.jpg,drawing,zT B T  ,A Sch  , 
1431,2012,B,,,,,42x30,mittel,hoch,,,Gs,A,,,,,H3,gr,,sko,,iBdK,,,,,,1431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/WV_ab 1405/1431.jpg,images/WV_ab 1405/thumb/1431.jpg,,B    ,A   , 
1432,2017,Mt,B,T,K,,29x35,mittel,breit,,,Gs,A,,,,,H3,gr,,,forward,iBdK,,,,,,1432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/WV_ab 1405/1432.jpg,images/WV_ab 1405/thumb/1432.jpg,forward,Mt B T K ,A   , 
1433,2015,B,,,,,30x42,mittel,breit,,,Gs,A,P,,,,H1,gr,,kre,,iBdK,,,,,,1433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/WV_ab 1405/1433.jpg,images/WV_ab 1405/thumb/1433.jpg,,B    ,A P  , 
1434,2017,zT,B,G,,,30x42,mittel,breit,,,Gs,A,P,,,,H2,gr,,waa,,iBdK,,,,,,1434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/WV_ab 1405/1434.jpg,images/WV_ab 1405/thumb/1434.jpg,,zT B G  ,A P  , 
1435,2015,B,,,,,22x22,klein,quadratisch,,,Gs,A,P,,,,H2,bw,,,,iBdK,,,,,Rok,1435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/WV_ab 1405/1435.jpg,images/WV_ab 1405/thumb/1435.jpg,,B    ,A P  , 
1436,2017,zT,B,T,,,13x24,klein,breit,,,Gs,A,,,,,H3,gr,,,,iBdK,,,,,,1436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/WV_ab 1405/1436.jpg,images/WV_ab 1405/thumb/1436.jpg,,zT B T  ,A   , 
1437,2017,zT,B,T,,,30x21,klein,hoch,,,Gs,A,Vo,O,,,H2,gr,,,"Vorhang, Akt",iBdK,,,,,,1437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/WV_ab 1405/1437.jpg,images/WV_ab 1405/thumb/1437.jpg,"vorhang, akt",zT B T  ,A Vo O , 
1438,2017,zT,B,T,,,15x31,klein,breit,,,Gs,A,,ZM,,,H3,gr,,,"Zeichner, Modelle",iBdK,,,,,,1438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/WV_ab 1405/1438.jpg,images/WV_ab 1405/thumb/1438.jpg,"zeichner, modelle",zT B T  ,A  ZM , 
1439,2017,zT,B,G,,,30x40,mittel,breit,,,Gs,A,,,,,H4,bw,,,,iBdK,,,,,,1439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/WV_ab 1405/1439..jpg,images/WV_ab 1405/thumb/1439..jpg,,zT B G  ,A   , 
1440,2017,Mt,B,T,Fs,,29x30,mittel,breit,,,Gs,A,Sch,,,,H2,gr,,was,,iBdK,,,,,,1440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/WV_ab 1405/1440.jpg,images/WV_ab 1405/thumb/1440.jpg,,Mt B T Fs ,A Sch  , 
1441,2012,zT,B,T,,,25x32,mittel,breit,,,Gs,A,,,,,H2,gr,,,,iBdK,,,,,,1441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/WV_ab 1405/1441.jpg,images/WV_ab 1405/thumb/1441.jpg,,zT B T  ,A   , 
1442,2013,B,,,,,30x30,mittel,quadratisch,,,Gs,A,ZM,,,,H2,gr,,,"Zeichner, Modell",iBdK,,,,,,1442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/WV_ab 1405/1442.jpg,images/WV_ab 1405/thumb/1442.jpg,"zeichner, modell",B    ,A ZM  , 
1443,2002,Mt,B,T,Opl,G,30x40,mittel,breit,,,Gs,A,,ZM,,,H2,gr,,,,iBdK,,,,,,1443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/WV_ab 1405/1443.jpg,images/WV_ab 1405/thumb/1443.jpg,,Mt B T Opl G,A  ZM , 
1444,2008,zT,B,T,,,30x42,mittel,breit,,,Gs,A,,,,,H2,gr  ,,,,iBdK,,,,,,1444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/WV_ab 1405/1444.jpg,images/WV_ab 1405/thumb/1444.jpg,,zT B T  ,A   , 
1445,2012,zT,B,T,,,22x30,mittel,breit,,,Gs,A,,,,,H2,gr,,sko,,iBdK,,,,,,1445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/WV_ab 1405/1445.jpg,images/WV_ab 1405/thumb/1445.jpg,,zT B T  ,A   , 
1446,2012,B,,,,,22x30,mittel,breit,,,Gs,A,Sch,,,,H2,gr,,,dormeuse,iBdK,,,,,,1446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/WV_ab 1405/1446.jpg,images/WV_ab 1405/thumb/1446.jpg,dormeuse,B    ,A Sch  , 
1447,2006,zT,B,Fa,,,30x42,mittel,breit,,,Gs,A,,,,,H2,gr,,,,iBdK,,,,,vK,1447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/WV_ab 1405/1447.jpg,images/WV_ab 1405/thumb/1447.jpg,,zT B Fa  ,A   , 
1448,2006,B,,,,,22x32,mittel,breit,,,Gs,A,ZM,,,,H2,bw,,,"Zeichner, Modell",iBdK,,,,,,1448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/WV_ab 1405/1448.jpg,images/WV_ab 1405/thumb/1448.jpg,"zeichner, modell",B    ,A ZM  , 
1449,2017,Mt,B,T,G,,28x29,mittel,breit,,,Gs,A,,,,,H3,gr,,,sorrow,iBdK,,,,,,1449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/WV_ab 1405/1449.jpg,images/WV_ab 1405/thumb/1449.jpg,sorrow,Mt B T G ,A   , 
1450,2017,zT,B,T,,,30x40,mittel,breit,,,Gs,A,,,,,H2,gr,,,,iBdK,,,,,,1450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/WV_ab 1405/1450.jpg,images/WV_ab 1405/thumb/1450.jpg,,zT B T  ,A   , 
1451,2017,zT,B,T,,,30x42,mittel,breit,,,Gs,A,,,,,H2,gr,,,,iBdK,,,,,,1451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/WV_ab 1405/1451.jpg,images/WV_ab 1405/thumb/1451.jpg,,zT B T  ,A   , 
1452,2017,zT,B,T,,,30x36,mittel,breit,,,Gs,A,,,,,H2,bw,,,Sitzende,iBdK,,,,,,1452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/WV_ab 1405/1452.jpg,images/WV_ab 1405/thumb/1452.jpg,sitzende,zT B T  ,A   , 
1453,2023,zT,B,G,,,19x26,klein,breit,,,U,,,,,,H3,gr,Kr8,sko,Unflat in Aktion,iBdK,,,,,Zk,1453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/WV_neu_20240313/1453.jpg,images/WV_neu_20240313/thumb/1453.jpg,unflat in aktion,zT B G  ,   , 
1454,2017,zT,B,T,,,28x30,mittel,breit,,,Gs,A,,,,,H2,gr  ,,,,iBdK,,,,,,1454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/WV_ab 1405/1454.jpg,images/WV_ab 1405/thumb/1454.jpg,,zT B T  ,A   , 
1455,1980,zT,G,B,,,37x44,mittel,breit,,,Gs,mF,Tie,FigR,,,H3,cf,,,Les brigades grises,"Stefan Trechsel, Bern",PB,,,,,1455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/WV_ab 1405/1455.jpg,images/WV_ab 1405/thumb/1455.jpg,les brigades grises,zT G B  ,mF Tie FigR , 
1456,1980,Mt,T,G,Kh,,50x70,mittel,breit,,,Gs,FigG,,,,,H2,gr,,,,iBdK,,,,,,1456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/WV_ab 1405/1456_bearbeitet-1.jpg,images/WV_ab 1405/thumb/1456_bearbeitet-1.jpg,,Mt T G Kh ,FigG   , 
1457,1980,Mt,T,Kh,G,C,45x63,mittel,breit,,,Gs,FigG,,,,,H2,gr,,,,iBdK,,,,,,1457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/WV_ab 1405/1457.jpg,images/WV_ab 1405/thumb/1457.jpg,,Mt T Kh G C,FigG   , 
1458,1980,Mt,T,Kh,Ks,,26x70,mittel,breit,,,Gs,FigG,,,,,H4,gr,,,,iBdK,,,,,,1458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/WV_ab 1405/1458.jpg,images/WV_ab 1405/thumb/1458.jpg,,Mt T Kh Ks ,FigG   , 
1459,1981,zT,R,G,,,37x48,mittel,breit,,,Gs,mF,O,lL,FigR,,H3,gr,,,,iBdK,,,,,,1459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/WV_web 2020 0610 Ersetzungen/1459.jpg,images/WV_web 2020 0610 Ersetzungen/thumb/1459.jpg,,zT R G  ,mF O lL FigR, 
1460,1982,zT,R,G,,,35x38,mittel,breit,,,Gs,mF,O,Pf,FigR,,H4,v,,,,iBdK,,,,,,1460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/WV_ab 1405/1460_bearbeitet-1.jpg,images/WV_ab 1405/thumb/1460_bearbeitet-1.jpg,,zT R G  ,mF O Pf FigR, 
1461,1981,G,,,,,30x39,mittel,breit,,,Gs,A,bb,O,FigR,,H3,cf,,,,iBdK,,,,,,1461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/WV_ab 1405/1461.jpg,images/WV_ab 1405/thumb/1461.jpg,,G    ,A bb O FigR, 
1462,1983,zT,G,T,,,25x28,mittel,breit,,,Gs,A,P,,,,H3,b,,,,iBdK,,,,,,1462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/WV_ab 1405/1462.jpg,images/WV_ab 1405/thumb/1462.jpg,,zT G T  ,A P  , 
1463,1983,G,,,,,35x50,mittel,breit,,,Gs,A,P,,,,H3,cf,,,,iBdK,,,,,,1463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/WV_ab 1405/1463.jpg,images/WV_ab 1405/thumb/1463.jpg,,G    ,A P  , 
1464,1983,G,,,,,42x54,mittel,breit,,,Gs,A,O,Pf,,,H4,cf,,,,iBdK,,,,,,1464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/WV_ab 1405/1464.jpg,images/WV_ab 1405/thumb/1464.jpg,,G    ,A O Pf , 
1465,1984,G,,,,,43x47,mittel,breit,,,Gs,A,,,,,H5,cf,,sko,,iBdK,,,,,,1465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/WV_ab 1405/1465.jpg,images/WV_ab 1405/thumb/1465.jpg,,G    ,A   , 
1466,2012,zT,B,T,,,29x30,mittel,breit,,,Gs,A,,,,,H2,gr,,sko,,iBdK,,,,,,1466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/WV_ab 1405/1466.jpg,images/WV_ab 1405/thumb/1466.jpg,,zT B T  ,A   , 
1467,2012,zT,B,T,,,28x29,mittel,breit,,,Gs,A,,,,,H2,gr,,,,iBdK,,,,,,1467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/WV_ab 1405/1467.jpg,images/WV_ab 1405/thumb/1467.jpg,,zT B T  ,A   , 
1468,2012,B,,,,,22x33,mittel,breit,,,Gs,A,,,,,H1,bw,,,,iBdK,,,,,,1468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/WV_ab 1405/1468.jpg,images/WV_ab 1405/thumb/1468.jpg,,B    ,A   , 
1469,2015,B,,,,,32x37,mittel,breit,Lst,,Gs,A,P,,,,H2,bw,,,,iBdK,,,,,,1469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/WV_ab 1405/1469.jpg,images/WV_ab 1405/thumb/1469.jpg,,B    ,A P  ,Lst 
1470,2015,B,,,,,23x26,mittel,breit,Lst,,Gs,A,P,,,,H2,bw,,,,iBdK,,,,,,1470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/WV_ab 1405/1470.jpg,images/WV_ab 1405/thumb/1470.jpg,,B    ,A P  ,Lst 
1471,2015,zT,B,T,,,30x38,mittel,breit,,,Gs,A,,,,,H2,gr,,kre,,iBdK,,,,,,1471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/WV_ab 1405/1471.jpg,images/WV_ab 1405/thumb/1471.jpg,,zT B T  ,A   , 
1472,2015,B,,,,,30x39,mittel,breit,Lst,,Gs,A,P,,,,H2,bw,,,,iBdK,,,,,,1472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/WV_ab 1405/1472.jpg,images/WV_ab 1405/thumb/1472.jpg,,B    ,A P  ,Lst 
1473,2012,T,,,,,29x21,klein,hoch,,,Gs,A,,,,,H2,bw,,,,iBdK,,,,,vK,1473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/WV_ab 1405/1473.jpg,images/WV_ab 1405/thumb/1473.jpg,,T    ,A   , 
1474,2009,T,,,,,25x23,klein,hoch,,,Gs,A,O,,,,H4,bw,,,,iBdK,,,,,,1474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/WV_ab 1405/1474.jpg,images/WV_ab 1405/thumb/1474.jpg,,T    ,A O  , 
1475,2012,T,,,,,22x30,mittel,breit,,,Gs,A,,,,,H3,bw,,,,iBdK,,,,,,1475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/WV_ab 1405/1475.jpg,images/WV_ab 1405/thumb/1475.jpg,,T    ,A   , 
1476,1991,B,,,,,28x38,mittel,breit,Lwi,,U,,,,,,H3,bw,,,,iBdK,,,,,,1476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/WV_ab 1405/1476.jpg,images/WV_ab 1405/thumb/1476.jpg,,B    ,   ,Lwi 
1477,1991,B,,,,,35x43,mittel,breit,Lwi,,U,,,,,,H4,bw,,,,iBdK,,,,,,1477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/WV_ab 1405/1477.jpg,images/WV_ab 1405/thumb/1477.jpg,,B    ,   ,Lwi 
1478,1991,B,,,,,35x43,mittel,breit,Lwi,,U,,,,,,H3,bw,,,,iBdK,,,,,,1478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/WV_ab 1405/1478.jpg,images/WV_ab 1405/thumb/1478.jpg,,B    ,   ,Lwi 
1479,1991,B,,,,,35x43,mittel,breit,Lwi,,U,,,,,,H3,bw,,,,iBdK,,,,,,1479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/WV_ab 1405/1479.jpg,images/WV_ab 1405/thumb/1479.jpg,,B    ,   ,Lwi 
1480,1991,B,,,,,29x38,mittel,breit,Lwi,,U,,,,,,H2,bw,,,,iBdK,,,,,,1480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/WV_ab 1405/1480.jpg,images/WV_ab 1405/thumb/1480.jpg,,B    ,   ,Lwi 
1481,1993,zT,G,B,,,33x42,mittel,breit,,,UnG,mF,,,,,H2,b,,,,iBdK,,,,,vK,1481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/WV_ab 1405/1481.jpg,images/WV_ab 1405/thumb/1481.jpg,,zT G B  ,mF   , 
