Nummer,Jahr,Technik,Technik I,Technik II,Technik III,Technik IV,Format,Grösse,Ausrichtung,Darstellungsform,Darstellungsform I,Gegenständlich/Ungegenständlich,Motiv I,Motiv II,Motiv III,Motiv IV,Serie,Helligkeit,Farbigkeit,Paraphrasen,Bildsprache,Titel,Standort,Status,Zus'arbeit,Bildqualität,Bemerkungen,Komposition,Nummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,path,thumb,TitelEinfach,Techniken,Motiven,Darstellungsformen
0011,2011,zT,Dd,B,,,21x30,klein,breit,,,U,Sch,,,,Fst,H1,bw,ParPC,,Früchtestillleben (frei nach Paul Cézanne),iBdK,,,,,,0011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/WV_ab 0001/0011_2011_Dd_B_A4_F_PPC_H1.jpg,images/WV_ab 0001/thumb/0011_2011_Dd_B_A4_F_PPC_H1.jpg,fruchtestillleben frei nach paul cezanne,zT Dd B  ,Sch   , 
0012,2011,zT,Dd,G,,,21x30,klein,breit,,,U,BiB,,,,Fst,H2,gr,"ParPC, Par9a",,"Cézannes ""Früchtestillleben"" (auf Anna Oppermanns ""Anders sein"")",iBdK,,,,,,0012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/WV_neu_20210219/0012.jpg,images/WV_neu_20210219/thumb/0012.jpg,cezannes fruchtestillleben auf anna oppermanns anders sein,zT Dd G  ,BiB   , 
0013,2011,Mt,Dd,B,G,,19x25,klein,breit,,,U,BiB,,,,,H1,gr,Kr10a,,locker gebaut,iBdK,,,,,,0013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/WV_neu_20210219/0013.jpg,images/WV_neu_20210219/thumb/0013.jpg,locker gebaut,Mt Dd B G ,BiB   , 
0014,2011,zT,Dd,B,,,21x30,klein,breit,Lwi,,U,,,,,Fst,H2,bw,ParPC,,Früchtestillleben (frei nach Paul Cézanne),iBdK,,,,,,0014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/WV_ab 0001/0014_2011_B_A4_F_PPC_H2.jpg,images/WV_ab 0001/thumb/0014_2011_B_A4_F_PPC_H2.jpg,fruchtestillleben frei nach paul cezanne,zT Dd B  ,   ,Lwi 
0015,2011,Mt,Dd,B,T,Fs,21x30,klein,breit,Lwi,,UnG,,,,,Fst,H2,gr,ParPC,,Früchtestillleben (frei nach Paul Cézanne),iBdK,,,,,,0015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/WV_ab 0001/0015_2011_M_A4_F_PPC_H2.jpg,images/WV_ab 0001/thumb/0015_2011_M_A4_F_PPC_H2.jpg,fruchtestillleben frei nach paul cezanne,Mt Dd B T Fs,   ,Lwi 
0016,2011,zT,Dd,B,,,21x30,klein,breit,,,U,Sch,,,,Fst,H1,gr,ParPC,,Früchtestillleben (frei nach Paul Cézanne),iBdK,,,,,,0016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/WV_ab 0001/0016_2011_Dd_B_A4_F_PPC_H1.jpg,images/WV_ab 0001/thumb/0016_2011_Dd_B_A4_F_PPC_H1.jpg,fruchtestillleben frei nach paul cezanne,zT Dd B  ,Sch   , 
0017,2012,Mt,Dd,B,Fs,,21x30,klein,breit,sM,,UnG,O,,,,Fst,H3,bw,ParPC,was,Früchtestillleben (frei nach Paul Cézanne),iBdK,,,,,,0017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/WV_ab 0001/0017_2012_Od_B_Fs_A4_F_PPC_was_H3.jpg,images/WV_ab 0001/thumb/0017_2012_Od_B_Fs_A4_F_PPC_was_H3.jpg,fruchtestillleben frei nach paul cezanne,Mt Dd B Fs ,O   ,sM 
0018,2011,zT,Dd,B,,,21x30,klein,breit,Ul,,Gs,F,St,Sch,StmFG,Fst,H1,y,ParPC,was,Früchtestillleben (frei nach Paul Cézanne),iBdK,,,,,,0018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/WV_ab 0001/0018_2011_B_A4_F_PPC_was_H1.jpg,images/WV_ab 0001/thumb/0018_2011_B_A4_F_PPC_was_H1.jpg,fruchtestillleben frei nach paul cezanne,zT Dd B  ,F St Sch StmFG,Ul 
0019,2011,Mt,Dd,B,T,Kh,21x30,klein,breit,"Lwi,krS",Ul,U,,,,,Fst,H2,gr,ParPC,was,Früchtestillleben (frei nach Paul Cézanne),iBdK,,,,,,0019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/WV_ab 0001/0019_2011_M_A4_F_PPC_was_H2.jpg,images/WV_ab 0001/thumb/0019_2011_M_A4_F_PPC_was_H2.jpg,fruchtestillleben frei nach paul cezanne,Mt Dd B T Kh,   ,"Lwi,krS Ul"
0020,2011,zT,Dd,T,,,21x30,klein,breit,Lst,Ul,U,Sch,,,,Fst,H1,gr,ParPC,was,Früchtestillleben (frei nach Paul Cézanne),iBdK,,,,,ROk,0020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/WV_ab 0001/0020_2011_Dd_T_A4_F_PPC_was_H1.jpg,images/WV_ab 0001/thumb/0020_2011_Dd_T_A4_F_PPC_was_H1.jpg,fruchtestillleben frei nach paul cezanne,zT Dd T  ,Sch   ,Lst Ul
0021,2011,G,,,,,21x30,klein,breit,,,U,,,,,Fst,H1,b,ParPC,fis,Früchtestillleben (frei nach Paul Cézanne),iBdK,,,,,,0021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/WV_ab 0001/0021_2011_G_A4_F_PPC_fis_H1.jpg,images/WV_ab 0001/thumb/0021_2011_G_A4_F_PPC_fis_H1.jpg,fruchtestillleben frei nach paul cezanne,G    ,   , 
0022,2021,zT,,B,T,,19x30,klein,breit,,,Gs,O,,,,,H3,gr,Kr1,,Schiffsverkehr,iBdK,,,,,,0022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/WV_neu_20210219/0022.jpg,images/WV_neu_20210219/thumb/0022.jpg,schiffsverkehr,zT  B T ,O   , 
0023,2011,zT,G,Fs,,,21x30,klein,breit,,,UoG,O,BiB,,,,H3,cf,Kr6,,4 Bilder,iBdK,,,,,,0023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/WV_neu_20210219/0023.jpg,images/WV_neu_20210219/thumb/0023.jpg,4 bilder,zT G Fs  ,O BiB  , 
0024,2021,zT,,B,T,,15x24,klein,breit,,,Gs,O,,,,,H3,gr,Kr6,,Boot ,iBdK,,,,,,0024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/WV_neu_20210219/0024.jpg,images/WV_neu_20210219/thumb/0024.jpg,boot,zT  B T ,O   , 
